,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
2026160,GSM,334,3,21015,30691,0,-98.307451,19.09727,14649,41,1,1286394905,1487284334,0
2026162,GSM,334,3,21015,30302,0,-98.272503,19.082,2082,17,1,1286395505,1482075415,0
2026165,GSM,334,3,21015,9813,0,-98.249222,19.11264,1000,20,1,1286399733,1457032231,0
2026166,GSM,334,3,21001,30743,0,-98.210658,19.084597,9183,45,1,1286400305,1494093194,0
2026167,GSM,334,3,21001,30943,0,-98.203869,19.0769,1000,8,1,1286400605,1477781027,0
2026168,GSM,334,50,20041,35753,0,-96.756359,17.088148,11812,24,1,1286401376,1470272198,0
2026169,GSM,334,3,20000,36202,0,-96.777725,17.141113,1386,18,1,1286401558,1330529331,0
2026170,GSM,334,3,20000,36221,0,-96.758537,17.111664,3080,12,1,1286402123,1329160099,0
2026171,GSM,334,3,20000,36391,0,-96.760757,17.103378,1692,30,1,1286402422,1329156218,0
2026172,GSM,334,3,20000,36392,0,-96.751614,17.086744,1373,16,1,1286402722,1330526327,0
2026173,GSM,334,3,20000,36143,0,-96.731567,17.054138000000002,1035,18,1,1286403023,1331036330,0
2026174,GSM,334,3,20000,36523,0,-96.72332800000001,17.051544,1000,18,1,1286403325,1331587132,0
2026175,GSM,334,3,20000,36163,0,-96.71611,17.052872,1000,45,1,1286403623,1332247523,0
2026176,GSM,334,3,20000,36522,0,-96.716059,17.052827,1000,396,1,1286404223,1332247227,0
2026177,GSM,334,3,9013,36781,0,-99.211546,19.722192,2280,21,1,1286404526,1491051388,0
2026179,GSM,334,3,20000,36181,0,-96.728027,17.051192999999998,1000,10,1,1286406023,1329149867,0
2026209,GSM,334,3,20000,36122,0,-96.738024,17.061973000000002,1065,97,1,1286406623,1326806905,0
2026210,GSM,334,3,20000,36232,0,-96.750376,17.086118,3204,730,1,1286406923,1331588930,0
2026211,GSM,334,3,20000,36212,0,-96.766739,17.122574,1127,27,1,1286407523,1330527224,0
2026212,GSM,334,3,20000,36203,0,-96.807773,17.147916,3785,13,1,1286408123,1326811420,0
2026250,GSM,334,3,26009,23212,0,-111.826204,30.702049,9078,21,1,1286415639,1320120285,0
2026251,GSM,334,3,21002,39174,0,-97.307968139648,18.257217407227,1000,1,1,1286396472,1286396472,0
2026252,GSM,334,3,21002,39173,0,-97.31367,18.262472,1952,46,1,1286416606,1337619949,0
2026254,GSM,334,3,21002,32132,0,-97.443466,18.478661,1623,36,1,1286417794,1475791269,0
2026255,GSM,334,3,21002,39092,0,-97.45491,18.523397,3170,23,1,1286418014,1424714034,0
2026257,GSM,334,3,26013,32863,0,-111.13975524902,30.556411743164002,1000,3,1,1286400012,1286400012,0
2026260,GSM,334,3,21001,30952,0,-98.082848,19.060593,1058,8,1,1286422214,1427877482,0
2026263,GSM,334,3,21015,9481,0,-98.191244,19.059594,1000,11,1,1286424898,1470609786,0
2026264,GSM,334,3,21015,30801,0,-98.189621,19.048462,1000,6,1,1286425496,1382288912,0
2026265,GSM,334,3,21001,10252,0,-98.184526,19.092814999999998,1000,69,1,1286425515,1460131516,0
